IPA,syllabic,stress,long,consonantal,sonorant,continuant,delayed release,approximant,tap,trill,nasal,voice,spread gl,constr gl,LABIAL,round,labiodental,CORONAL,anterior,distributed,strident,lateral,DORSAL,high,low,front,back,tense
ɒ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,+,-,+,0
ɑ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,+,-,+,0
ɶ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,+,+,-,0
a,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,+,-,-,0
æ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,+,+,-,0
ʌ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,-
ɔ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,+,-
o,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,+,+
ɤ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,+
ɘ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,-,+
œ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,+,-,-
ə,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,-,-
e,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,+,-,+
ɞ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,-,-
ø,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,+,-,+
ɛ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,+,-,-
ɵ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,-,-,-,-,+
ɯ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,+
u,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,+,+
ʊ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,+,-
ɨ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,-,+
ʉ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,-,+
y,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,+,-,+
i,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,+
ʏ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,+,-,-
ɪ,+,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,-
ŋ̟,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
ʟ̟,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,+,+,+,-,+,-,0
ɫ,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,+,-,-,+,+,-,-,-,+,0
ɴ,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ʀ,-,-,-,+,+,+,0,+,-,+,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ɲ,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
ʎ,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,-,+,-,+,+,+,-,+,-,0
ŋ,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
ŋ̠,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
ʟ,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,+,+,+,-,0,0,0
ʟ̠,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,+,+,+,-,-,+,0
ɳ,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
ʙ,-,-,-,+,+,+,0,+,-,+,-,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
ɭ,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,-,-,-,+,-,0,0,0,0,0
ɺ,-,-,-,+,+,+,0,+,+,-,-,+,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
ɻ,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
ɽ,-,-,-,+,+,+,0,+,+,-,-,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
r,-,-,-,+,+,+,0,+,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
n,-,-,-,+,+,-,0,-,-,-,+,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
m,-,-,-,+,+,-,0,-,-,-,+,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
l,-,-,-,+,+,+,0,+,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
ɾ,-,-,-,+,+,+,0,+,+,-,-,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
ɱ,-,-,-,+,+,-,0,-,-,-,+,+,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
ʔ,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,0,0,0,-,-,0,0,0,0,0
ɣ̟,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
x̟,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
k̟,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
ɡ̟,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
k̟ʄx̟,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
ɡ̟ʄɣ̟,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,0
ħ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,-,+,-,+,0
ʕ,-,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,+,-,+,0
ʁ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
q,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
χ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ɢ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ɕ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,+,-,+,-,0
ɟ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
ʝ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
c,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
ç,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
dʄʐ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,+,-,+,-,0
tʄɕ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,+,-,+,-,0
ɣ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
ɣ̠,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
x,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
x̠,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
k,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
k̠,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
ɡ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
ɡ̠,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
ʑ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,+,-,+,-,0
ʈ,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
ɖ,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0
ɬ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
ʐ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0
ɸ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
ʂ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0
ʒ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,-,+,+,-,-,0,0,0,0,0
z,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,-,0,0,0,0,0
v,-,-,-,+,-,+,+,-,-,-,-,+,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
t,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
ʃ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,0,0,0,0,0
s,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,0,0,0,0,0
p,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
f,-,-,-,+,-,+,+,-,-,-,-,-,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
d,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,0,0,0,0,0
b,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
θ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,0,0,0,0,0
ɮ,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
ð,-,-,-,+,-,+,+,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,0,0,0,0,0
β,-,-,-,+,-,+,+,-,-,-,-,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
dʄʒ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,+,+,-,-,0,0,0,0,0
dʄz,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,-,0,0,0,0,0
dʄɮ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
d̠ʄɮ̠,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,+,-,+,-,0,0,0,0,0
tʄʃ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,0,0,0,0,0
t̠ʄɬ̠,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,-,0,0,0,0,0
tʄs,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,+,-,-,0,0,0,0,0
tʄɬ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,0,0,0,0,0
t̪ʄs̪,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,0,0,0,0,0
t̪ʄɬ̪,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,0,0,0,0,0
d̪ʄz̪,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,-,0,0,0,0,0
d̪ʄɮ̪,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,-,+,-,0,0,0,0,0
ʈ͡ʐ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0
ɖ͡ʐ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0
pʄf,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
bʄv,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
pʄɸ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
bʄβ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,+,-,-,-,0,0,0,-,-,0,0,0,0,0
t̪ʄθ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,0,0,0,0,0
d̪ʄð,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,0,0,0,0,0
cʄɕ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
ɟ͡ʝ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,+,+,-,+,-,0
kʄx,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
k̪ʄx̪,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
ɡʄɣ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,0
ɡ̠ʄɣ̠,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,0
qʄχ,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ɢʄʁ,-,-,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,-,-,-,+,0
ɧ,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,+,+,-,0,0,0
kʄp,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,0,0,0,-,+,+,-,0,0,0
ɡʄb,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,-,0,0,0,-,+,+,-,0,0,0
pʄt,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,0,0,0,0,0
bʄd,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,0,0,0,0,0
ɰ,-,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,0,0,+
ɰ̠,-,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,-,+,+
w,-,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,-,+,+
ɥ,-,-,-,-,+,+,0,+,-,-,-,+,-,-,+,+,-,-,0,0,0,-,+,+,-,+,-,+
j,-,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,-,0,0,0,-,+,+,-,+,-,+
ɹ,-,-,-,-,+,+,0,+,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,0,0,0,0,0
ʋ,-,-,-,-,+,+,0,+,-,-,-,+,-,-,+,-,+,-,0,0,0,-,-,0,0,0,0,0
ʍ,-,-,-,-,-,+,+,-,-,-,-,-,+,-,+,+,-,-,0,0,0,-,+,+,-,-,+,+
ɦ,-,-,-,-,-,+,+,-,-,-,-,+,+,-,-,-,-,-,0,0,0,-,-,0,0,0,0,0
h,-,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,0,0,0,-,-,0,0,0,0,0